valore,anno,mese
53.263256,1924,5
77.72139,1924,6
57.01256,1924,7
61.74,1924,8
38.46093,1924,9
98.086975,1924,10
54.158142,1924,11
110.39581,1924,12
18.904186,1925,1
77.685585,1925,2
73.76047,1925,3
89.8293,1925,4
75.08232,1925,5
36.433487,1925,6
51.064186,1925,7
51.039536,1925,8
60.625114,1925,9
77.92651,1925,10
142.66837,1925,11
57.260933,1925,12
64.31349,1926,1
51.63674,1926,2
71.94884,1926,3
55.989765,1926,4
75.30977,1926,5
67.203255,1926,6
62.168373,1926,7
32.730698,1926,8
70.70605,1926,9
74.766975,1926,10
158.41069,1926,11
90.43953,1926,12
112.88419,1927,1
52.12558,1927,2
94.75814,1927,3
37.48977,1927,4
61.725117,1927,5
51.43023,1927,6
32.512093,1927,7
36.53814,1927,8
76.35814,1927,9
79.97023,1927,10
109.78931,1927,11
166.16418,1927,12
91.87256,1928,1
39.48977,1928,2
114.566055,1928,3
98.76093,1928,4
62.611626,1928,5
30.825583,1928,6
13.825116,1928,7
36.388836,1928,8
123.38371,1928,9
116.08093,1928,10
137.59767,1928,11
93.680466,1928,12
87.02279,1929,1
56.292095,1929,2
33.05814,1929,3
61.246044,1929,4
49.69349,1929,5
45.84186,1929,6
31.614883,1929,7
85.38512,1929,8
37.48884,1929,9
95.015816,1929,10
133.18605,1929,11
75.4014,1929,12
97.708374,1930,1
89.54744,1930,2
70.5507,1930,3
93.922325,1930,4
95.25628,1930,5
47.49628,1930,6
48.064186,1930,7
56.449768,1930,8
77.56651,1930,9
91.85163,1930,10
56.823254,1930,11
124.65768,1930,12
83.3014,1931,1
108.87117,1931,2
66.32837,1931,3
68.48186,1931,4
64.507904,1931,5
31.85442,1931,6
37.337673,1931,7
44.968372,1931,8
57.214886,1931,9
99.43488,1931,10
158.52652,1931,11
53.565582,1931,12
43.00186,1932,1
56.72233,1932,2
89.92046,1932,3
86.3014,1932,4
72.42512,1932,5
63.968834,1932,6
77.94977,1932,7
38.84,1932,8
55.393024,1932,9
108.06,1932,10
105.62883,1932,11
89.02698,1932,12
112.239075,1933,1
64.83442,1933,2
42.52558,1933,3
51.341393,1933,4
82.266045,1933,5
96.771164,1933,6
38.07302,1933,7
33.99581,1933,8
80.32465,1933,9
88.26418,1933,10
159.72604,1933,11
146.5386,1933,12
74.99628,1934,1
47.173954,1934,2
113.74512,1934,3
69.360466,1934,4
61.592094,1934,5
86.30465,1934,6
48.68093,1934,7
106.02559,1934,8
52.996746,1934,9
72.10186,1934,10
155.4014,1934,11
109.912094,1934,12
88.952095,1935,1
75.97907,1935,2
48.056282,1935,3
49.876747,1935,4
79.33163,1935,5
24.232557,1935,6
33.100464,1935,7
53.653954,1935,8
40.085117,1935,9
164.61395,1935,10
142.20744,1935,11
142.38605,1935,12
95.539536,1936,1
86.57535,1936,2
78.08884,1936,3
108.91069,1936,4
100.19349,1936,5
83.61349,1936,6
47.439537,1936,7
24.26186,1936,8
72.078606,1936,9
87.92837,1936,10
78.15861,1936,11
88.3307,1936,12
64.46419,1937,1
81.98791,1937,2
111.601395,1937,3
82.68,1937,4
46.880466,1937,5
75.43953,1937,6
53.250694,1937,7
81.09675,1937,8
124.66744,1937,9
122.06465,1937,10
106.91953,1937,11
119.400925,1937,12
64.528366,1938,1
50.76279,1938,2
19.390697,1938,3
48.633953,1938,4
75.368835,1938,5
44.03907,1938,6
45.8,1938,7
87.65256,1938,8
91.08651,1938,9
72.54604,1938,10
84.12791,1938,11
111.49489,1938,12
106.87628,1939,1
43.810696,1939,2
97.52372,1939,3
51.167442,1939,4
114.57349,1939,5
58.50279,1939,6
28.29721,1939,7
64.98465,1939,8
114.85581,1939,9
103.64744,1939,10
73.42093,1939,11
118.37441,1939,12
75.49721,1940,1
48.42279,1940,2
43.70465,1940,3
62.6986,1940,4
92.45396,1940,5
84.17256,1940,6
52.01954,1940,7
44.036743,1940,8
38.625114,1940,9
149.56837,1940,10
94.170235,1940,11
66.99256,1940,12
112.915344,1941,1
104.425125,1941,2
50.735348,1941,3
106.617676,1941,4
82.04977,1941,5
50.160465,1941,6
56.438606,1941,7
46.020927,1941,8
48.56744,1941,9
99.5307,1941,10
112.27767,1941,11
39.103256,1941,12
87.97349,1942,1
86.873024,1942,2
60.96047,1942,3
67.95442,1942,4
39.071163,1942,5
46.38186,1942,6
